Route Details,Total Distance,Total Battery Drain
"[{'From': 'DWI 4', 'To': 'Lake Mendota', 'Distance': 7.803233698080612, 'Payload': 4.7, 'Battery Consumption': 0.33709139246357045}, {'From': 'Lake Mendota', 'To': ""Governer's Mansion"", 'Distance': 4.0149622335723585, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.1390767050957121}]",15.786424508106567,0.5997889254861859
"[{'From': 'DWI 4', 'To': 'The Kollege Klub', 'Distance': 6.70982773832467, 'Payload': 4.45, 'Battery Consumption': 0.2980289015054414}, {'From': 'The Kollege Klub', 'To': ""Governer's Mansion"", 'Distance': 4.664399523214087, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.15930839636180957}]",15.342455837992354,0.5809581257941543
"[{'From': 'DWI 4', 'To': 'Tenney Park', 'Distance': 3.742207448280247, 'Payload': 2.9000000000000004, 'Battery Consumption': 0.174579671285989}, {'From': 'Tenney Park', 'To': ""Governer's Mansion"", 'Distance': 2.342071363297415, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.0869617247133151}]",10.052507388031259,0.3851622239262074
"[{'From': 'DWI 4', 'To': 'Tenney Park', 'Distance': 3.742207448280247, 'Payload': 4.825, 'Battery Consumption': 0.213079671285989}, {'From': 'Tenney Park', 'To': ""Nandini's Apartment"", 'Distance': 3.3087781356517953, 'Payload': 2.625, 'Battery Consumption': 0.15557720048759485}]",13.872772121469009,0.5811735863385983
"[{'From': 'DWI 4', 'To': 'The Bakke', 'Distance': 8.373013150105177, 'Payload': 4.15, 'Battery Consumption': 0.34384153115592453}, {'From': 'The Bakke', 'To': ""Governer's Mansion"", 'Distance': 5.695863207333158, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.19144122141224792}]",18.037104933891932,0.6589035804950758
"[{'From': 'DWI 4', 'To': 'The Nick', 'Distance': 7.106165624161203, 'Payload': 4.86, 'Battery Consumption': 0.31857587614209354}, {'From': 'The Nick', 'To': ""Governer's Mansion"", 'Distance': 5.231803188562088, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.17698452300816475}]",16.306197389176887,0.6191812270771616
"[{'From': 'DWI 4', 'To': ""Governer's Mansion"", 'Distance': 3.9682285764535967, 'Payload': 3.7, 'Battery Consumption': 0.19762082792690333}, {'From': ""Governer's Mansion"", 'To': 'Henry Vilas Zoo', 'Distance': 6.640325783624361, 'Payload': 3.0, 'Battery Consumption': 0.2668637315770829}]",19.06995356459082,0.7280795502987794
"[{'From': 'DWI 4', 'To': ""Governer's Mansion"", 'Distance': 3.9682285764535967, 'Payload': 4.1, 'Battery Consumption': 0.2056208279269033}, {'From': ""Governer's Mansion"", 'To': 'The Edgewater', 'Distance': 4.0554992310071905, 'Payload': 3.3999999999999995, 'Battery Consumption': 0.19433953990676606}]",14.025510147875217,0.5869317803076392
"[{'From': 'DWI 4', 'To': ""Governer's Mansion"", 'Distance': 3.9682285764535967, 'Payload': 3.325, 'Battery Consumption': 0.19012082792690332}, {'From': ""Governer's Mansion"", 'To': ""Nandini's Apartment"", 'Distance': 5.171074597824492, 'Payload': 2.625, 'Battery Consumption': 0.2135926665988938}]",15.961089711815053,0.6162302090908116
"[{'From': 'DWI 4', 'To': ""Sam's Apartment"", 'Distance': 6.456905143706965, 'Payload': 4.825, 'Battery Consumption': 0.29764969295037275}, {'From': ""Sam's Apartment"", 'To': 'Noland Hall', 'Distance': 0.993625544110517, 'Payload': 2.2, 'Battery Consumption': 0.07495406679472016}, {'From': 'Noland Hall', 'To': ""Governer's Mansion"", 'Distance': 5.36545819417959, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.18114823034827385}]",16.78421745845067,0.67737281802027
"[{'From': 'DWI 4', 'To': 'Noland Hall', 'Distance': 7.448851038505012, 'Payload': 4.4, 'Battery Consumption': 0.3200514342213399}, {'From': 'Noland Hall', 'To': 'Tenney Park', 'Distance': 3.796150374244678, 'Payload': 2.9000000000000004, 'Battery Consumption': 0.1762601362693046}, {'From': 'Tenney Park', 'To': ""Governer's Mansion"", 'Distance': 2.342071363297415, 'Payload': 0.7000000000000002, 'Battery Consumption': 0.0869617247133151}]",17.555301352500702,0.706894123130863
"[{'From': 'DWI 4', 'To': 'Noland Hall', 'Distance': 7.448851038505012, 'Payload': 4.825, 'Battery Consumption': 0.3285514342213399}, {'From': 'Noland Hall', 'To': ""Governer's Mansion"", 'Distance': 5.36545819417959, 'Payload': 3.325, 'Battery Consumption': 0.23364823034827384}, {'From': ""Governer's Mansion"", 'To': ""Nandini's Apartment"", 'Distance': 5.171074597824492, 'Payload': 2.625, 'Battery Consumption': 0.2135926665988938}]",24.80717036804606,0.988309045733522
